prob,method,quadrature,SN,PN,tally,sigma,timeDenovo,timeMCNP,fomMCNP,fomAdjusted,
maze1,CADIS,LS,10,3,9.49E-08,0.0159,457.85,979.2,4.039562636,2.75254148,
maze1,CADIS,LS,10,5,0.0487,592.67,1006.8,0.418792476,0.263612487,,
maze2,CADIS,LS,10,3,0.0284,326.05,5809.2,0.213425836,0.202083593,,
maze2,CADIS,LS,10,5,0.0569,519.56,6607.8,0.046743215,0.043335795,,
beam,CADIS,LS,10,3,7.02E-08,0.1286,44.345,16.2,3.732527776,0.998710876,
beam,CADIS,LS,10,5,0.1857,10.742,49.8,0.58230008,0.47898226,,
prob_1,CADIS,LS,10,3,3.93E-09,0.0013,278.147,14644.2,40.40616601,39.6530101,
prob_1,CADIS,LS,10,5,0.226,376.221,25250.4,0.00077538,0.000763997,,
prob_2,CADIS,LS,10,3,2.82E-07,0.0204,280.533,8363.4,0.287314005,0.277989424,
prob_2,CADIS,LS,10,5,0.0899,375.919,9454.2,0.013087474,0.012586989,,
prob_4,CADIS,LS,10,3,0.2203,341.656,16026,0.001285718,0.001258881,,
prob_4,CADIS,LS,10,5,0.1889,440.767,15902.4,0.001762274,0.001714746,,
therapy-room,CADIS,LS,10,3,7.03E-09,0.0461,280.837,61.8,7.613943927,1.373295163,
therapy-room,CADIS,LS,10,5,0.3462,479.715,62.4,0.133709198,0.015390561,,
